WKT,Area
"POLYGON ((1.254293244085 52.9244388821983,1.26701284764442 52.9189648683933,1.26282434619052 52.9028112654408,1.25253288313914 52.8987569184595,1.24292610195322 52.8967759719833,1.22526439372736 52.9078013656077,1.22956757863791 52.9226432616816,1.24055366584478 52.9248198829402,1.254293244085 52.9244388821983))",Aylmerton
"POLYGON ((1.27770170127791 52.7926856077972,1.26437586984469 52.7821612647824,1.25521765230267 52.7793593876069,1.2459274677321 52.7815432037813,1.21533178353382 52.7805117867565,1.2148296233385 52.7809250581801,1.21807976246424 52.7880233944142,1.25128388183493 52.8067808791134,1.27378984055864 52.807194090832,1.27580896765516 52.806124203196,1.27770170127791 52.7926856077972))",Aylsham
"POLYGON ((1.16612736315283 52.9014397445471,1.18453219283958 52.8902956175687,1.18428511773669 52.8889309476787,1.18061520342689 52.8859541619632,1.13881631023244 52.8743074405505,1.13851335801861 52.8744801136247,1.13865956463376 52.9027681878442,1.14357643600707 52.9046826153315,1.16612736315283 52.9014397445471))",Baconsthorpe
"POLYGON ((1.4971127065515 52.8444460820427,1.48739633153026 52.8393783342882,1.48624727237852 52.8354643959756,1.47975152676873 52.8391933915613,1.46431656742365 52.8403610055994,1.45926769432657 52.8479338987602,1.45413149495611 52.8524032491135,1.46098108348721 52.8638770363435,1.4624154748268 52.8628552687283,1.46572513748637 52.8608635222076,1.46894534418615 52.8589617614099,1.47098087154978 52.8579109324679,1.47211170319634 52.8575066231508,1.47337226628205 52.8564924923355,1.47389484139125 52.8563103499783,1.47406343825885 52.8561005190422,1.4758474097699 52.8553703911775,1.47862564205342 52.8539770356143,1.47904257458579 52.8537679190535,1.48105417868936 52.8527248990304,1.48350968178947 52.8513626748834,1.48617948296436 52.8499722326289,1.48826437813878 52.8489747636202,1.48837089683372 52.8489237998051,1.48987306639607 52.8482892076408,1.49132339698987 52.8474593220767,1.49256449232433 52.8467230463659,1.49380204152613 52.8459431280546,1.4951924352995 52.8452680249217,1.4971127065515 52.8444460820427))",Bacton
"POLYGON ((0.692556740171017 52.8432079309804,0.692372046722928 52.8430993181191,0.690267212602544 52.8429760583112,0.673561530578116 52.8388642941919,0.655009232491679 52.8403904542362,0.653805731967147 52.8770037307626,0.658830623399758 52.8831825941276,0.665436735510886 52.8819844346854,0.716385905389445 52.8839948788158,0.692556740171017 52.8432079309804))",Bagthorpe
"POLYGON ((1.0017643030592 52.9018695792728,1.00412552914303 52.8839149291388,0.969494620330656 52.8797618196932,0.968033013152588 52.8856184911233,0.976190440939537 52.9003228861648,1.00148540809848 52.9019629309017,1.0017643030592 52.9018695792728))",Bale
"POLYGON ((1.04654853579049 52.4659585114903,1.0677606933527 52.4517286610905,1.04907596230405 52.4318632413333,1.02531654191704 52.4325230194336,1.00963553882268 52.4470760000298,1.0080987499463 52.4559378399352,1.01966763138184 52.4668800493284,1.04654853579049 52.4659585114903))",Banham
"POLYGON ((1.15011252871247 52.6227327616102,1.13718376766656 52.6138934955372,1.12426180341811 52.6172319681941,1.10171158204193 52.618242211168,1.09777429473997 52.6219126618874,1.09926703399059 52.6309029237021,1.12800496541812 52.6345536304321,1.15011252871247 52.6227327616102))",Barford
"POLYGON ((1.66811460761249 52.4525011714875,1.66633798223292 52.4513097595442,1.66561983564063 52.4484465268933,1.66190528816168 52.4447538603411,1.65581646372728 52.444252067698,1.6421312845708 52.4350673703001,1.6398813591614 52.4356192930806,1.60870123813462 52.4358903180527,1.61298015277971 52.4394177400311,1.61506024948141 52.4426782398473,1.61867722099182 52.4483464015704,1.61723479212948 52.4545498179754,1.62277756241141 52.4618148103649,1.62374720516079 52.4648829435942,1.66519127069804 52.4683431956633,1.66670033220661 52.4665668102983,1.66811460761249 52.4525011714875))",Barnby
"POLYGON ((0.775129239669383 52.3954997219299,0.772416573424269 52.3859714657458,0.768271799913529 52.3888542008243,0.749435500210343 52.3821749006006,0.743728200500462 52.3847157007855,0.739865400096659 52.3875967000226,0.738507999629877 52.3931059999782,0.735398600233867 52.3939875003076,0.718921800814647 52.3925239001385,0.713485079826413 52.3937198113305,0.713962832269427 52.3971149269031,0.752511401470635 52.3977094419402,0.764783941505913 52.394390018743,0.775129239669383 52.3954997219299))",Barnham
"POLYGON ((1.08558996016442 52.6419164866436,1.09926703399059 52.6309029237021,1.09777429473997 52.6219126618874,1.06420545686708 52.6110055993895,1.0638478388597 52.6103812865899,1.04086008379747 52.604712242377,1.01996086128407 52.6175706656917,1.0173592552615 52.6397400180737,1.04844135831855 52.6341601300577,1.07244910811557 52.6427380389489,1.07716968131777 52.6420928271033,1.08558996016442 52.6419164866436))",Barnham Broom
"POLYGON ((0.354276645947376 52.6171811000773,0.350371269053843 52.6029892602868,0.330048369454353 52.5888449238147,0.279048606240129 52.609531804837,0.27896693383247 52.6252047728662,0.296931014536536 52.6421068860864,0.303678690755136 52.6452981726117,0.304442820869546 52.6456595104795,0.354276645947376 52.6171811000773))",Barroway Drove
"POLYGON ((0.881478953725922 52.8825540976051,0.870562563162154 52.8702140804596,0.871697897708948 52.8567332328179,0.866250020959921 52.8502999434588,0.843942260230117 52.8497711999305,0.839477091455011 52.8518120144531,0.795490203953981 52.8607919392526,0.787073079638263 52.8599068766447,0.779684680205867 52.8606952420036,0.772458813321185 52.8674401622273,0.789519356711152 52.9023113404634,0.811858665961187 52.8967822406986,0.827267561302956 52.8949936608679,0.839543822546292 52.8947376988427,0.852570421154436 52.8944647144715,0.881478953725922 52.8825540976051))",Barsham
"POLYGON ((0.555144146721645 52.6041505039807,0.541682444966338 52.5976794071588,0.498459345846434 52.6096801758798,0.514409019537256 52.6386825355473,0.558010206232739 52.6405455449379,0.555144146721645 52.6041505039807))",Barton Bendish
"POLYGON ((1.49711806732654 52.7406970646862,1.49509089201017 52.7372426924956,1.48606171842832 52.7388574020758,1.47792476557693 52.7426395596942,1.44821046986264 52.7498161292654,1.45523297665006 52.753700859561,1.45688783536265 52.7535932287947,1.46486098701275 52.755692191621,1.47227621661885 52.7583170315749,1.47700556827405 52.7618946889776,1.47918078550778 52.7651764615718,1.47932707336173 52.7653971485538,1.48843304425135 52.7632723513204,1.49092966542675 52.768171210637,1.49504816794452 52.7636957282222,1.4975337850723 52.7587401037722,1.49943147014465 52.7539475308815,1.49672125423399 52.7471049058059,1.49711806732654 52.7406970646862))",Barton Turf
"POLYGON ((1.1921686645599 52.6423396056299,1.19279311224334 52.6414592696144,1.19541149935739 52.6374314991114,1.19587747045827 52.6359170149149,1.19596504583714 52.6352941033066,1.19515428762272 52.630459520253,1.19529451369216 52.6285311287312,1.19546109434793 52.6279780286209,1.19551673313913 52.6278902788629,1.19552442286775 52.6278929005942,1.19812493041319 52.6243969150736,1.19167892665542 52.6228576641888,1.1823931646274 52.6234139358661,1.17021364976703 52.6192576331801,1.16185747266145 52.6231414793113,1.15672804709635 52.6229631222092,1.1634334193682 52.6274491709882,1.16929656404535 52.6434675659916,1.17399705137272 52.6459620880585,1.1921686645599 52.6423396056299))",Bawburgh
"POLYGON ((1.06325430807877 52.75543104305,1.04430659070135 52.733304329925,1.04316082313042 52.7329100416491,1.01143386823874 52.7318685149041,1.01108504690136 52.7335381597793,1.03403242724484 52.7610853135654,1.06325430807877 52.75543104305))",Bawdeswell
"POLYGON ((0.506901430600139 52.7589816375361,0.498971608026142 52.7321651412403,0.486463089477502 52.7289422191801,0.473792114422907 52.7330464846727,0.422644725011161 52.7374433170239,0.453035683869892 52.7458689332518,0.456292237974841 52.7557737110815,0.476519871878962 52.7713731244746,0.482500211877068 52.7723733162321,0.496242340803442 52.7666641226029,0.506901430600139 52.7589816375361))",Bawsey
"POLYGON ((0.629899896979902 52.6412533150075,0.612304769688088 52.6070965699434,0.581517137436155 52.6010592022022,0.555144146721645 52.6041505039807,0.558010206232739 52.6405455449379,0.582632971158261 52.6540026005615,0.620054459460795 52.6544279187655,0.629899896979902 52.6412533150075))",Beachamwell
"POLYGON ((1.58440811201613 52.4698302472033,1.58192409012553 52.451629911027,1.58213086508606 52.4510685915235,1.5827487516479 52.4500309828049,1.58175233772224 52.4474871772124,1.58126518390515 52.4467991565775,1.58056757365465 52.4416832648333,1.57000792928753 52.441163763686,1.56817823128158 52.438690766782,1.56138188936176 52.4374678923372,1.55941708145693 52.4382203276448,1.55760459246643 52.4389143792534,1.55680766512838 52.4435476730294,1.54446223731833 52.4507296668503,1.5432603097057 52.4566595614782,1.56010988298674 52.4638116763196,1.55944233228807 52.4655606897016,1.5634724095455 52.4652383897171,1.57975015889456 52.4721423044211,1.58440811201613 52.4698302472033))",Beccles
"POLYGON ((0.867672930718409 52.7340612461968,0.892762082742483 52.7216962051707,0.886568657797264 52.7120381148801,0.848437362973404 52.7118799264657,0.846099600806474 52.6959824952817,0.832509441102469 52.6896173750551,0.795480543582874 52.7023786350186,0.793859731235851 52.7052212279591,0.819330016848861 52.7231618715719,0.841515544394295 52.7208253135649,0.859340681986827 52.7344581413857,0.867672930718409 52.7340612461968))",Beeston
"POLYGON ((0.945921155455336 52.7249703648604,0.936525951728392 52.711111827083,0.92949931587972 52.7007406274013,0.903523285983632 52.7228344312406,0.900391117732594 52.7235310896813,0.911804963903232 52.7466363904664,0.939046150077199 52.7351655416337,0.945835098627763 52.725022482292,0.945921155455336 52.7249703648604))",Beetley
"POLYGON ((1.53058483361853 52.6262799247297,1.52614337393088 52.6099928331691,1.50774647791537 52.6163537265329,1.50919081690358 52.62663652979,1.52349966963982 52.6315397704059,1.53058483361853 52.6262799247297))",Beighton
"POLYGON ((1.40120515111327 52.7143963344329,1.39389152047542 52.7091695800025,1.39571404970019 52.7064771251616,1.39220918143318 52.7030374053906,1.38451720502248 52.7024675977204,1.3794821846023 52.7031389142511,1.37485185001901 52.7074665955013,1.37827484447448 52.7098602298881,1.38485586834167 52.7139992037667,1.38402190361558 52.7171697951686,1.37874720719712 52.718762594496,1.37481341813389 52.722784017117,1.3858873343967 52.7233623651307,1.4035854170822 52.7255738177921,1.40120515111327 52.7143963344329))",Belaugh
"POLYGON ((1.61506407217616 52.5741879797864,1.61828619355053 52.5780937538823,1.62827607473023 52.5779460616849,1.62263711721801 52.574218840828,1.61769339206717 52.5734777689765,1.61506407217616 52.5741879797864))",Halvergate
"POLYGON ((1.70241699773278 52.5569999288409,1.70160300876728 52.5530464649376,1.6990453968587 52.5521613576484,1.68777438113016 52.5525951490349,1.6720782062172 52.5476844432323,1.63196297230302 52.5605526663331,1.63445257727972 52.5635936740055,1.63360759194057 52.5740310301253,1.64316610908242 52.5744806283981,1.64756936183893 52.5776584468801,1.6526123553449 52.574203909737,1.66440965472061 52.571637699653,1.66768322584026 52.5722501391504,1.67540634144624 52.5772379347886,1.68201862805096 52.5640667935961,1.70241699773278 52.5569999288409))",Belton
"POLYGON ((1.41845717432636 52.5622909771611,1.41292841700893 52.5449508458549,1.39951867968811 52.5424467110145,1.38057779459253 52.554057108772,1.37966439927886 52.5557388729541,1.39774577488 52.5637674977723,1.39746917598316 52.5702374459087,1.41845717432636 52.5622909771611))",Bergh Apton
"POLYGON ((1.23703818329692 52.8902971180018,1.23771720395291 52.8792410660867,1.2166751473795 52.8716239636184,1.18428511773669 52.8889309476787,1.18453219283958 52.8902956175687,1.19026412716281 52.8928645916913,1.23703818329692 52.8902971180018))",Bessingham
"POLYGON ((1.0566709581438 52.5361611452341,1.07339060982904 52.507142157255,1.0709513482757 52.5036289442836,1.03950051306282 52.5057567580145,1.03024939138043 52.5151678231426,1.0357561781634 52.5191759147089,1.03733925915017 52.5209198816587,1.03717269082569 52.5234523475199,1.03459261341397 52.5263441825327,1.02263144512443 52.5235099110068,1.02213003581609 52.5234237627312,1.01201984567696 52.5336990280282,1.04077850606878 52.540356922485,1.0566709581438 52.5361611452341))",Besthorpe
"POLYGON ((0.99239866941641 52.7573965644252,1.00713389242298 52.7385852156005,0.974371509096514 52.7327990908518,0.972062866127518 52.7408540571377,0.966620498826772 52.7598320617367,0.99239866941641 52.7573965644252))",Billingford
"POLYGON ((1.20695499232756 52.3612358988255,1.20159041789033 52.361180396275,1.19730490685356 52.3592156950782,1.166517708687 52.360597346149,1.17033647698887 52.3744778046308,1.17852387586602 52.374825639172,1.19498448036723 52.3851641579012,1.20418278594841 52.3852156571951,1.21271389232875 52.385651033852,1.20695499232756 52.3612358988255))",Billingford
"POLYGON ((0.956838678799031 52.931316663379,0.969511633050782 52.9208454505199,0.96290751492299 52.9090131518712,0.927640895861812 52.9030685811239,0.927069621177561 52.9028703844457,0.920013151990633 52.901891438753,0.911115047773226 52.909806374066,0.909396698535993 52.9241283251497,0.919693589705482 52.9331992448564,0.94934380092456 52.9302108111788,0.956838678799031 52.931316663379))",Binham
"POLYGON ((1.01779117314906 52.7680998964823,0.99239866941641 52.7573965644252,0.966620498826772 52.7598320617367,0.966403999251689 52.7599139895318,0.95541229005185 52.7687596580556,0.959686674652452 52.7713611526922,1.00277081278087 52.7776188535954,1.00326604864327 52.777305097923,1.00553102718636 52.772401719705,1.01779117314906 52.7680998964823))",Bintree
"POLYGON ((0.658830623399758 52.8831825941276,0.653805731967147 52.8770037307626,0.630534100102607 52.86564880698,0.598270606054816 52.8677910060712,0.607585573798294 52.8865330763939,0.652425115151563 52.8885611210584,0.658830623399758 52.8831825941276))",Bircham Newton
"POLYGON ((0.655009232491679 52.8403904542362,0.644680271896525 52.8392758453243,0.630534100102607 52.86564880698,0.653805731967147 52.8770037307626,0.655009232491679 52.8403904542362))",Bircham Tofts
"POLYGON ((0.502823602177634 52.6864707193535,0.50254493275444 52.6863348704918,0.443851472636098 52.6935062358553,0.440057404257504 52.7046534900035,0.445563974166594 52.7091538358926,0.486932046412118 52.7123408258252,0.502823602177634 52.6864707193535))",Blackborough End
"POLYGON ((1.03185378430346 52.9616539346384,1.03192868126508 52.9529031218414,1.02140978776847 52.9393977251371,1.00909158395192 52.9348845543569,1.00114878532215 52.9405764445744,1.00629065422324 52.9632183659731,1.00702110607315 52.9631737403918,1.0124496119425 52.9628419502551,1.01462426756273 52.9627089642334,1.01652085773484 52.9625929530444,1.01826244585242 52.9624863963101,1.01873514812401 52.9624574700941,1.03185378430346 52.9616539346384))",Blakeney
"POLYGON ((1.22857269995003 52.8246575134575,1.25128388183493 52.8067808791134,1.21807976246424 52.7880233944142,1.20818267373834 52.8190920638031,1.21597209493465 52.8253178802211,1.22857269995003 52.8246575134575))",Blickling
"POLYGON ((0.985908134065183 52.3761320900265,0.983163240198849 52.3726446871679,0.982235991463399 52.3692290677834,0.981195764023011 52.3653965768647,0.964245700172988 52.3644814008219,0.965945000360706 52.3702310000997,0.962408999568344 52.3716493000556,0.961432399823774 52.3715120000902,0.960048100354977 52.3717545997884,0.953952899570254 52.3719784004291,0.954165000326455 52.37230809974,0.952144366325126 52.3740672516666,0.950232899441463 52.3757312002487,0.947062099927903 52.3755060006071,0.941316099554934 52.3787389003537,0.94075179302324 52.3800034930918,0.940003000702599 52.3816814002687,0.938609453961585 52.3825670620426,0.94038233215331 52.3827764075909,0.97168219560178 52.3881309119797,0.985908134065183 52.3761320900265))",Blo' Norton
"POLYGON ((1.46809394512402 52.6363115184,1.46323867571619 52.6359460614204,1.4652950260437 52.6286707666122,1.45535369103853 52.6225263477313,1.44607542690223 52.6264588441025,1.4383690344274 52.6270218927545,1.42734676806418 52.6396713567865,1.45580687927214 52.6429853598672,1.46809394512402 52.6363115184))",Blofield
"POLYGON ((1.45107621354665 52.6666993315291,1.45696669166545 52.6603546825518,1.46243509321462 52.6591925732475,1.47260339646502 52.6519903666587,1.46760052924414 52.6428522635323,1.46809394512402 52.6363115184,1.45580687927214 52.6429853598672,1.42734676806418 52.6396713567865,1.42351885104366 52.6405819832526,1.42072998160294 52.6447294772804,1.42369408212972 52.6485067855608,1.41787425658675 52.6516837472401,1.42959684129942 52.6560267346359,1.4366092042227 52.6649564266096,1.44311512848383 52.6670548122599,1.45107621354665 52.6666993315291))",Blofield Heath
"POLYGON ((1.72622616579911 52.5247398911804,1.72181867001038 52.5161807528465,1.72143919686429 52.5086303972565,1.72248013157646 52.5053912186416,1.68085309927309 52.5040638597025,1.67997588596694 52.5150114544656,1.71434999811545 52.5293423636318,1.71948001511881 52.5275006329372,1.72622616579911 52.5247398911804))",Blundeston
"POLYGON ((1.17736725049807 52.922142820558,1.16612736315283 52.9014397445471,1.14357643600707 52.9046826153315,1.1395593096367 52.9264617172298,1.16089196204028 52.93234802186,1.17736725049807 52.922142820558))",Bodham
"POLYGON ((0.737977223262242 52.5687947186776,0.766771984607397 52.5551539414814,0.778595214179422 52.5364169317985,0.777991087948406 52.5292894047005,0.767099852839943 52.5144761143412,0.728198230119833 52.5262707873275,0.713114384939205 52.5265973299758,0.666827745376566 52.5335728168451,0.650421673077945 52.5502993395583,0.688935031445834 52.5593064589512,0.714798838392687 52.5699257149387,0.725710408234036 52.5658227767926,0.737977223262242 52.5687947186776))",Bodney
"POLYGON ((1.03043494040709 52.3489075144267,1.02610130452132 52.3279299711954,1.00315829490717 52.3355269100826,1.00398187899247 52.3398707156415,1.00267591009656 52.3412364587839,0.988078429074449 52.3470415157448,0.991589719875642 52.3510585425095,1.02833722194972 52.3526755720741,1.03043494040709 52.3489075144267))",Botesdale
"POLYGON ((0.541682444966338 52.5976794071588,0.539274297557718 52.5846417949057,0.502004827927071 52.5797554472669,0.493844895494553 52.5811007123998,0.48655911694112 52.6065184952003,0.488326101525581 52.6076236431127,0.498459345846434 52.6096801758798,0.541682444966338 52.5976794071588))",Boughton
"POLYGON ((1.23845663688864 52.5447432754538,1.23772513318609 52.5439397984138,1.20677865660514 52.5388930471023,1.20540439068624 52.5391318786888,1.18893576305509 52.5599204348522,1.21779260804473 52.5634938481328,1.23845663688864 52.5447432754538))",Bracon Ash
"POLYGON ((0.860999791713315 52.6589248443085,0.863658799209198 52.6575302595706,0.872475699668198 52.6411177819661,0.854514866489232 52.6123269977716,0.829580012282518 52.6128131011264,0.823709229356107 52.6162746045457,0.817396221507216 52.635830513872,0.832071115283719 52.6573140870988,0.844109553960724 52.6610306514609,0.860999791713315 52.6589248443085))",Bradenham
"POLYGON ((1.39239137006076 52.850773353971,1.36860079372067 52.8346476528929,1.36482744433072 52.8342242998473,1.36395881165328 52.8457123432039,1.35585680490889 52.855740973852,1.37734968857267 52.862291224307,1.39239137006076 52.850773353971))",Bradfield
"POLYGON ((1.70894999459098 52.594635850818,1.71031749148478 52.5928397874442,1.71220747927935 52.5909419961843,1.71082688276813 52.5879366549426,1.71028158457253 52.5861093698148,1.71029495219631 52.5816467707569,1.70867042778308 52.578603961331,1.70694794707141 52.5772895603097,1.7078002872395 52.5752400250835,1.70725755280967 52.5722823159683,1.70775174609562 52.57201840469,1.70448601633647 52.5670452016117,1.70241699773278 52.5569999288409,1.68201862805096 52.5640667935961,1.67540634144624 52.5772379347886,1.69408531302507 52.597122821991,1.70313066155997 52.5939603663165,1.70894999459098 52.594635850818))",Bradwell
"POLYGON ((1.40555224204304 52.5964371418217,1.40504545580435 52.5867174260415,1.40938610843228 52.5849009891498,1.39741424271736 52.5786822996376,1.37870906134513 52.5818257910923,1.37327430308491 52.5902620291212,1.38597750703206 52.6045473556118,1.38620876178663 52.6048073094359,1.39081802224003 52.6047035132685,1.39258085670496 52.6046637683639,1.40555224204304 52.5964371418217))",Bramerton
"POLYGON ((1.31721280932015 52.7729159762332,1.30962185648802 52.7619330319472,1.27439671014794 52.7535907650243,1.27277722212561 52.7545824184976,1.27481691873772 52.7703422609115,1.31266180008005 52.7778394512651,1.31721280932015 52.7729159762332))",Brampton
"POLYGON ((0.653829073667238 52.9694933205645,0.665200249708836 52.9313412782948,0.657215612878746 52.9294285568085,0.646061357753022 52.9305919888471,0.63676446931444 52.9335618178078,0.629807463669009 52.9739739683941,0.630273414297325 52.974111990839,0.631087073184743 52.9742648217387,0.631206080831802 52.9742621864123,0.631625879568379 52.9743068404645,0.63168592865794 52.974314502189,0.635929672949512 52.9747779182808,0.636001868015746 52.9747403490009,0.636200173169185 52.974816875755,0.636588043097229 52.9748262523461,0.637201786416057 52.9748755733803,0.637769262883297 52.9748989428802,0.638473905117593 52.9749732147431,0.650561618990813 52.9705517788794,0.653524558156562 52.9694676737126,0.653829073667238 52.9694933205645))",Brancaster
"POLYGON ((0.67629758954204 52.9688397737859,0.673827844785036 52.9320185243871,0.665200249708836 52.9313412782948,0.653829073667238 52.9694933205645,0.654452795722591 52.969545847366,0.656069094011661 52.9696715754884,0.656187536016734 52.9696599354193,0.657151035374129 52.9698272186416,0.659252691430737 52.9703376904141,0.659450608828668 52.9703203125125,0.659647592672738 52.9703030154252,0.67061867835568 52.9693391224915,0.674819030645214 52.9689698115711,0.67629758954204 52.9688397737859))",Brancaster Staithe
"POLYGON ((1.18269075038271 52.7497235770794,1.17585961766275 52.7493015751818,1.17300375283685 52.7472365065766,1.17177971187244 52.7433430883144,1.17340865508707 52.7396402138207,1.16182593223688 52.7400916763723,1.14966125925089 52.7382589200999,1.14526193539056 52.7409801993631,1.13921903554887 52.7419970157243,1.12789598102511 52.7391782557185,1.1297431361806 52.7502869700195,1.14361610115585 52.7650845500758,1.15302181829709 52.7625166852937,1.16799330212618 52.7628466522968,1.18269075038271 52.7497235770794))",Brandiston
"POLYGON ((0.645661940435262 52.4540453077488,0.638580000833802 52.4497300006319,0.624355542031007 52.4563165427301,0.64323170386569 52.458826331614,0.645661940435262 52.4540453077488))",Brandon
"POLYGON ((0.423731151974757 52.4457610961359,0.373750593639834 52.4880350615891,0.375468554439775 52.4891090501711,0.396920068292555 52.4947094585702,0.41854813800771 52.5024436973804,0.451075147740848 52.5033665205294,0.461058603400282 52.454178906216,0.45851436505365 52.4444710404171,0.45489916915977 52.4417586528912,0.42574096891818 52.4342690489235,0.425742983251661 52.4342939205109,0.423731151974757 52.4457610961359))",Brandon Bank
"POLYGON ((1.06559356511291 52.4174276848456,1.10179188961294 52.3950270785278,1.09756255165485 52.3924615840941,1.0693749696603 52.3891881645443,1.05715569587881 52.3791625215808,1.05524263266768 52.379489484926,1.02620156056632 52.3782068486001,1.02641911541273 52.3856669190675,1.05566217592351 52.4052413571621,1.06087752898233 52.417894296444,1.06559356511291 52.4174276848456))",Bressingham
