,Magazines,,,,,280
,,Antiques & Collectables,,,,1138
,,"Architecture, Art & Design",,,,78614
,,Business & Management,,,,1137
,,Children's & Young Adults,,,,609
,,"Computing, IT & Internet",,,,2243
,,Crafts,,,,1140
,,Film & TV,,,,1145
,,Food & Drink,,,,1139
,,Games & Puzzles,,,,101067
,,Gardening,,,,101068
,,Gay & Lesbian,,,,179211
,,Health & Fitness,,,,91176
,,History & Politics,,,,179212
,,Home,,,,1141
,,Horror & Monsters,,,,1142
,,Humour,,,,1143
,,Literary,,,,91177
,,Medical & Nursing,,,,91178
,,Men's,,,,91173
,,Military & War,,,,101070
,,"Music, Dance & Theatre",,,,78622
,,"Nature, Outdoors & Geography",,,,608
,,News & Current Affairs,,,,612
,,Paranormal & Supernatural,,,,72343
,,Pet & Animal Care,,,,72344
,,Photography,,,,101066
,,Pulp,,,,1146
,,Religion & Spirituality,,,,72345
,,Science,,,,1147
,,Science Fiction,,,,1148
,,Sports,,,,105967
,,Transportation,,,,64802
,,Travel & Exploration,,,,1150
,,True Crime,,,,1160
,,"Urban, Lifestyle & Fashion",,,,108869
,,Women's,,,,101072
,,Other Magazines,,,,162517
,Collections & Lots,,,,,29399
,,Books,,,,46752
,,Comics,,,,98991
,,Magazines,,,,52543
,"Other Books, Comics, Magazines",,,,,268
"Business, Office & Industrial",,,,,,12576
,"Adhesives, Sealants & Tapes",,,,,109471
,,Adhesive Tapes,,,,109475
,,"Glues, Epoxies & Cements",,,,183746
,,,Multi-Component Epoxies,,,183857
,,,Hot Glue Sticks,,,183968
,,,Liquid Glues & Cements,,,184079
